artikelnr;karpi_code;omschrijving
430179966;BERM17NOMAATWK;
430179965;BERM17SBMAATWK;
430170190;BERM17SE060133;BERMUDA KLEUR 17 CA:060x133 cm Band: SE15
430170191;BERM17SE090160;BERMUDA KLEUR 17 CA:090x160 cm Band: SE15
430170192;BERM17SE130190;BERMUDA KLEUR 17 CA:130x190 cm Band: SE15
430170193;BERM17SE160240;BERMUDA KLEUR 17 CA:160x240 cm Band: SE15
430170194;BERM17SE200000;BERMUDA KLEUR 17 CA: 200 cm ROND Band: SE15
430170195;BERM17SE200240;BERMUDA KLEUR 17 CA:200x240 cm Band: SE15
430170196;BERM17SE200290;BERMUDA KLEUR 17 CA:200x290 cm Band: SE15
430170197;BERM17SE240000;BERMUDA KLEUR 17 CA: 240 cm ROND Band: SE15
430170198;BERM17SE250350;BERMUDA KLEUR 17 CA:250x350 cm Band: SE15
430170199;BERM17SE300400;BERMUDA KLEUR 17 CA:300x400 cm Band: SE15
430179964;BERM17SEMAATWK;
430170290;BERM17SF035035;BERMUDA KLEUR 17 CA:035x035 cm
430170200;BERM17SF060133;BERMUDA KLEUR 17 CA:060x133 cm Band: SF16
430170201;BERM17SF090160;BERMUDA KLEUR 17 CA:090x160 cm Band: SF16
430170202;BERM17SF130190;BERMUDA KLEUR 17 CA:130x190 cm Band: SF16
430170203;BERM17SF160240;BERMUDA KLEUR 17 CA:160x240 cm Band: SF16
430170204;BERM17SF200000;BERMUDA KLEUR 17 CA: 200 cm ROND Band: SF16
430170205;BERM17SF200240;BERMUDA KLEUR 17 CA:200x240 cm Band: SF16
430170206;BERM17SF200290;BERMUDA KLEUR 17 CA:200x290 cm Band: SF16
430170207;BERM17SF240000;BERMUDA KLEUR 17 CA: 240 cm ROND Band: SF16
430170208;BERM17SF250350;BERMUDA KLEUR 17 CA:250x350 cm Band: SF16
430170209;BERM17SF300400;BERMUDA KLEUR 17 CA:300x400 cm Band: SF16
430179963;BERM17SFMAATWK;
430170210;BERM17SG060133;BERMUDA KLEUR 17 CA:060x133 cm Band: SG17
430170211;BERM17SG090160;BERMUDA KLEUR 17 CA:090x160 cm Band: SG17
430170212;BERM17SG130190;BERMUDA KLEUR 17 CA:130x190 cm Band: SG17
430170213;BERM17SG160240;BERMUDA KLEUR 17 CA:160x240 cm Band: SG17
430170214;BERM17SG200000;BERMUDA KLEUR 17 CA: 200 cm ROND Band: SG17
430170215;BERM17SG200240;BERMUDA KLEUR 17 CA:200x240 cm Band: SG17
430170216;BERM17SG200290;BERMUDA KLEUR 17 CA:200x290 cm Band: SG17
430170217;BERM17SG240000;BERMUDA KLEUR 17 CA: 240 cm ROND Band: SG17
430170218;BERM17SG250350;BERMUDA KLEUR 17 CA:250x350 cm Band: SG17
430170219;BERM17SG300400;BERMUDA KLEUR 17 CA:300x400 cm Band: SG17
430179962;BERM17SGMAATWK;
430170220;BERM17SH060133;BERMUDA KLEUR 17 CA:060x133 cm Band: SH18
430170221;BERM17SH090160;BERMUDA KLEUR 17 CA:090x160 cm Band: SH18
430170222;BERM17SH130190;BERMUDA KLEUR 17 CA:130x190 cm Band: SH18
430170223;BERM17SH160240;BERMUDA KLEUR 17 CA:160x240 cm Band: SH18
430170224;BERM17SH200000;BERMUDA KLEUR 17 CA: 200 cm ROND Band: SH18
430170225;BERM17SH200240;BERMUDA KLEUR 17 CA:200x240 cm Band: SH18
430170226;BERM17SH200290;BERMUDA KLEUR 17 CA:200x290 cm Band: SH18
430170227;BERM17SH240000;BERMUDA KLEUR 17 CA: 240 cm ROND Band: SH18
430170228;BERM17SH250350;BERMUDA KLEUR 17 CA:250x350 cm Band: SH18
430170229;BERM17SH300400;BERMUDA KLEUR 17 CA:300x400 cm Band: SH18
430179961;BERM17SHMAATWK;
430170230;BERM17SI060133;BERMUDA KLEUR 17 CA:060x133 cm Band: SI19
430170231;BERM17SI090160;BERMUDA KLEUR 17 CA:090x160 cm Band: SI19
430170232;BERM17SI130190;BERMUDA KLEUR 17 CA:130x190 cm Band: SI19
430170233;BERM17SI160240;BERMUDA KLEUR 17 CA:160x240 cm Band: SI19
430170234;BERM17SI200000;BERMUDA KLEUR 17 CA: 200 cm ROND Band: SI19
430170235;BERM17SI200240;BERMUDA KLEUR 17 CA:200x240 cm Band: SI19
430170236;BERM17SI200290;BERMUDA KLEUR 17 CA:200x290 cm Band: SI19
430170237;BERM17SI240000;BERMUDA KLEUR 17 CA: 240 cm ROND Band: SI19
430170238;BERM17SI250350;BERMUDA KLEUR 17 CA:250x350 cm Band: SI19
430170239;BERM17SI300400;BERMUDA KLEUR 17 CA:300x400 cm Band: SI19
430179960;BERM17SIMAATWK;
430170240;BERM17SJ060133;BERMUDA KLEUR 17 CA:060x133 cm Band: SJ20
430170241;BERM17SJ090160;BERMUDA KLEUR 17 CA:090x160 cm Band: SJ20
430170242;BERM17SJ130190;BERMUDA KLEUR 17 CA:130x190 cm Band: SJ20
430170243;BERM17SJ160240;BERMUDA KLEUR 17 CA:160x240 cm Band: SJ20
430170244;BERM17SJ200000;BERMUDA KLEUR 17 CA: 200 cm ROND Band: SJ20
430170245;BERM17SJ200240;BERMUDA KLEUR 17 CA:200x240 cm Band: SJ20
430170246;BERM17SJ200290;BERMUDA KLEUR 17 CA:200x290 cm Band: SJ20
430170247;BERM17SJ240000;BERMUDA KLEUR 17 CA: 240 cm ROND Band: SJ20
430170248;BERM17SJ250350;BERMUDA KLEUR 17 CA:250x350 cm Band: SJ20
430170249;BERM17SJ300400;BERMUDA KLEUR 17 CA:300x400 cm Band: SJ20
430179959;BERM17SJMAATWK;
430170250;BERM17SK060133;BERMUDA KLEUR 17 CA:060x133 cm Band: SK21
430170251;BERM17SK090160;BERMUDA KLEUR 17 CA:090x160 cm Band: SK21
430170252;BERM17SK130190;BERMUDA KLEUR 17 CA:130x190 cm Band: SK21
430170253;BERM17SK160240;BERMUDA KLEUR 17 CA:160x240 cm Band: SK21
430170254;BERM17SK200000;BERMUDA KLEUR 17 CA: 200 cm ROND Band: SK21
430170255;BERM17SK200240;BERMUDA KLEUR 17 CA:200x240 cm Band: SK21
430170256;BERM17SK200290;BERMUDA KLEUR 17 CA:200x290 cm Band: SK21
430170257;BERM17SK240000;BERMUDA KLEUR 17 CA: 240 cm ROND Band: SK21
430170258;BERM17SK250350;BERMUDA KLEUR 17 CA:250x350 cm Band: SK21
430170259;BERM17SK300400;BERMUDA KLEUR 17 CA:300x400 cm Band: SK21
430179958;BERM17SKMAATWK;
430170260;BERM17SL060133;BERMUDA KLEUR 17 CA:060x133 cm Band: SL22
430170261;BERM17SL090160;BERMUDA KLEUR 17 CA:090x160 cm Band: SL22
430170262;BERM17SL130190;BERMUDA KLEUR 17 CA:130x190 cm Band: SL22
430170263;BERM17SL160240;BERMUDA KLEUR 17 CA:160x240 cm Band: SL22
430170264;BERM17SL200000;BERMUDA KLEUR 17 CA: 200 cm ROND Band: SL22
430170265;BERM17SL200240;BERMUDA KLEUR 17 CA:200x240 cm Band: SL22
430170266;BERM17SL200290;BERMUDA KLEUR 17 CA:200x290 cm Band: SL22
430170267;BERM17SL240000;BERMUDA KLEUR 17 CA: 240 cm ROND Band: SL22
430170268;BERM17SL250350;BERMUDA KLEUR 17 CA:250x350 cm Band: SL22
430170269;BERM17SL300400;BERMUDA KLEUR 17 CA:300x400 cm Band: SL22
430179957;BERM17SLMAATWK;
430170270;BERM17SM060133;BERMUDA KLEUR 17 CA:060x133 cm Band: SM23
430170271;BERM17SM090160;BERMUDA KLEUR 17 CA:090x160 cm Band: SM23
430170272;BERM17SM130190;BERMUDA KLEUR 17 CA:130x190 cm Band: SM23
430170273;BERM17SM160240;BERMUDA KLEUR 17 CA:160x240 cm Band: SM23
430170274;BERM17SM200000;BERMUDA KLEUR 17 CA: 200 cm ROND Band: SM23
430170275;BERM17SM200240;BERMUDA KLEUR 17 CA:200x240 cm Band: SM23
430170276;BERM17SM200290;BERMUDA KLEUR 17 CA:200x290 cm Band: SM23
430170277;BERM17SM240000;BERMUDA KLEUR 17 CA: 240 cm ROND Band: SM23
430170278;BERM17SM250350;BERMUDA KLEUR 17 CA:250x350 cm Band: SM23
430170279;BERM17SM300400;BERMUDA KLEUR 17 CA:300x400 cm Band: SM23
430179956;BERM17SMMAATWK;
430170280;BERM17SP060133;BERMUDA KLEUR 17 CA:060x133 cm Band: SP38
430170281;BERM17SP090160;BERMUDA KLEUR 17 CA:090x160 cm Band: SP38
430170282;BERM17SP130190;BERMUDA KLEUR 17 CA:130x190 cm Band: SP38
430170283;BERM17SP160240;BERMUDA KLEUR 17 CA:160x240 cm Band: SP38
430170284;BERM17SP200000;BERMUDA KLEUR 17 CA: 200 cm ROND Band: SP38
430170285;BERM17SP200240;BERMUDA KLEUR 17 CA:200x240 cm Band: SP38
430170286;BERM17SP200290;BERMUDA KLEUR 17 CA:200x290 cm Band: SP38
430170287;BERM17SP240000;BERMUDA KLEUR 17 CA: 240 cm ROND Band: SP38
430170288;BERM17SP250350;BERMUDA KLEUR 17 CA:250x350 cm Band: SP38
430170289;BERM17SP300400;BERMUDA KLEUR 17 CA:300x400 cm Band: SP38
430179955;BERM17SPMAATWK;
430170291;BERM17XX020020;BERMUDA Kleur 17 CA: 020x020 cm
430170292;BERM17XX030030;BERMUDA Kleur 17 CA: 030x030 cm
001430003;BERM19400LAT;HB A001 - BERMUDA 19 LATEX 400 BREED      BRUIN
430190000;BERM19DY060133;BERMUDA KLEUR 19 CA:060x133 cm Band: DY95
430190001;BERM19DY090160;BERMUDA KLEUR 19 CA:090x160 cm Band: DY95
430190002;BERM19DY130190;BERMUDA KLEUR 19 CA:130x190 cm Band: DY95
430190003;BERM19DY160240;BERMUDA KLEUR 19 CA:160x240 cm Band: DY95
430190004;BERM19DY200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: DY95
430190005;BERM19DY200240;BERMUDA KLEUR 19 CA:200x240 cm Band: DY95
430190006;BERM19DY200290;BERMUDA KLEUR 19 CA:200x290 cm Band: DY95
430190007;BERM19DY240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: DY95
430190008;BERM19DY250350;BERMUDA KLEUR 19 CA:250x350 cm Band: DY95
430190009;BERM19DY300400;BERMUDA KLEUR 19 CA:300x400 cm Band: DY95
430199998;BERM19DYMAATWK;
430190010;BERM19DZ060133;BERMUDA KLEUR 19 CA:060x133 cm Band: DZ99
430190011;BERM19DZ090160;BERMUDA KLEUR 19 CA:090x160 cm Band: DZ99
430190012;BERM19DZ130190;BERMUDA KLEUR 19 CA:130x190 cm Band: DZ99
430190013;BERM19DZ160240;BERMUDA KLEUR 19 CA:160x240 cm Band: DZ99
430190014;BERM19DZ200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: DZ99
430190015;BERM19DZ200240;BERMUDA KLEUR 19 CA:200x240 cm Band: DZ99
430190016;BERM19DZ200290;BERMUDA KLEUR 19 CA:200x290 cm Band: DZ99
430190017;BERM19DZ240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: DZ99
430190018;BERM19DZ250350;BERMUDA KLEUR 19 CA:250x350 cm Band: DZ99
430190019;BERM19DZ300400;BERMUDA KLEUR 19 CA:300x400 cm Band: DZ99
430199997;BERM19DZMAATWK;
430199996;BERM19K0MAATWK;
430199995;BERM19K1MAATWK;
430199994;BERM19K2MAATWK;
430199993;BERM19K3MAATWK;
430199992;BERM19K4MAATWK;
430199991;BERM19K5MAATWK;
430199990;BERM19K6MAATWK;
430199989;BERM19K7MAATWK;
430199988;BERM19K8MAATWK;
430199987;BERM19K9MAATWK;
430190020;BERM19KA060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KA11
430190021;BERM19KA090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KA11
430190022;BERM19KA130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KA11
430190023;BERM19KA160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KA11
430190024;BERM19KA200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KA11
430190025;BERM19KA200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KA11
430190026;BERM19KA200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KA11
430190027;BERM19KA240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KA11
430190028;BERM19KA250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KA11
430190029;BERM19KA300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KA11
430199986;BERM19KAMAATWK;
430190030;BERM19KB060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KB12
430190031;BERM19KB090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KB12
430190032;BERM19KB130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KB12
430190033;BERM19KB160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KB12
430190034;BERM19KB200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KB12
430190035;BERM19KB200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KB12
430190036;BERM19KB200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KB12
430190037;BERM19KB240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KB12
430190038;BERM19KB250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KB12
430190039;BERM19KB300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KB12
430199985;BERM19KBMAATWK;
430190040;BERM19KC060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KC13
430190041;BERM19KC090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KC13
430190042;BERM19KC130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KC13
430190043;BERM19KC160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KC13
430190044;BERM19KC200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KC13
430190045;BERM19KC200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KC13
430190046;BERM19KC200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KC13
430190047;BERM19KC240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KC13
430190048;BERM19KC250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KC13
430190049;BERM19KC300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KC13
430199984;BERM19KCMAATWK;
430190050;BERM19KE060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KE15
430190051;BERM19KE090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KE15
430190052;BERM19KE130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KE15
430190053;BERM19KE160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KE15
430190054;BERM19KE200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KE15
430190055;BERM19KE200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KE15
430190056;BERM19KE200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KE15
430190057;BERM19KE240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KE15
430190058;BERM19KE250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KE15
430190059;BERM19KE300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KE15
430199983;BERM19KEMAATWK;
430190060;BERM19KF060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KF16
430190061;BERM19KF090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KF16
430190062;BERM19KF130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KF16
430190063;BERM19KF160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KF16
430190064;BERM19KF200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KF16
430190065;BERM19KF200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KF16
430190066;BERM19KF200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KF16
430190067;BERM19KF240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KF16
430190068;BERM19KF250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KF16
430190069;BERM19KF300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KF16
430199982;BERM19KFMAATWK;
430190070;BERM19KH060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KH18
430190071;BERM19KH090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KH18
430190072;BERM19KH130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KH18
430190073;BERM19KH160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KH18
430190074;BERM19KH200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KH18
430190075;BERM19KH200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KH18
430190076;BERM19KH200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KH18
430190077;BERM19KH240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KH18
430190078;BERM19KH250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KH18
430190079;BERM19KH300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KH18
430199981;BERM19KHMAATWK;
430190080;BERM19KJ060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KJ20
430190081;BERM19KJ090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KJ20
430190082;BERM19KJ130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KJ20
430190083;BERM19KJ160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KJ20
430190084;BERM19KJ200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KJ20
430190085;BERM19KJ200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KJ20
430190086;BERM19KJ200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KJ20
430190087;BERM19KJ240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KJ20
430190088;BERM19KJ250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KJ20
430190089;BERM19KJ300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KJ20
430199980;BERM19KJMAATWK;
430190090;BERM19KK060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KK21
430190091;BERM19KK090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KK21
430190092;BERM19KK130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KK21
430190093;BERM19KK160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KK21
430190094;BERM19KK200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KK21
430190095;BERM19KK200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KK21
430190096;BERM19KK200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KK21
430190097;BERM19KK240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KK21
430190098;BERM19KK250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KK21
430190099;BERM19KK300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KK21
430199979;BERM19KKMAATWK;
430190100;BERM19KL060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KL22
430190101;BERM19KL090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KL22
430190102;BERM19KL130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KL22
430190103;BERM19KL160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KL22
430190104;BERM19KL200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KL22
430190105;BERM19KL200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KL22
430190106;BERM19KL200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KL22
430190107;BERM19KL240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KL22
430190108;BERM19KL250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KL22
430190109;BERM19KL300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KL22
430199978;BERM19KLMAATWK;
430190110;BERM19KM060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KM23
430190111;BERM19KM090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KM23
430190112;BERM19KM130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KM23
430190113;BERM19KM160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KM23
430190114;BERM19KM200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KM23
430190115;BERM19KM200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KM23
430190116;BERM19KM200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KM23
430190117;BERM19KM240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KM23
430190118;BERM19KM250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KM23
430190119;BERM19KM300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KM23
430199977;BERM19KMMAATWK;
430190120;BERM19KN060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KN24
430190121;BERM19KN090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KN24
430190122;BERM19KN130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KN24
430190123;BERM19KN160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KN24
430190124;BERM19KN200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KN24
430190125;BERM19KN200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KN24
430190126;BERM19KN200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KN24
430190127;BERM19KN240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KN24
430190128;BERM19KN250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KN24
430190129;BERM19KN300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KN24
430199976;BERM19KNMAATWK;
430199975;BERM19KOMAATWK;
430190130;BERM19KP060133;BERMUDA KLEUR 19 CA:060x133 cm Band: KP38
430190131;BERM19KP090160;BERMUDA KLEUR 19 CA:090x160 cm Band: KP38
430190132;BERM19KP130190;BERMUDA KLEUR 19 CA:130x190 cm Band: KP38
430190133;BERM19KP160240;BERMUDA KLEUR 19 CA:160x240 cm Band: KP38
430190134;BERM19KP200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: KP38
430190135;BERM19KP200240;BERMUDA KLEUR 19 CA:200x240 cm Band: KP38
430190136;BERM19KP200290;BERMUDA KLEUR 19 CA:200x290 cm Band: KP38
430190137;BERM19KP240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: KP38
430190138;BERM19KP250350;BERMUDA KLEUR 19 CA:250x350 cm Band: KP38
430190139;BERM19KP300400;BERMUDA KLEUR 19 CA:300x400 cm Band: KP38
430199974;BERM19KPMAATWK;
430199973;BERM19KRMAATWK;
430199972;BERM19KSMAATWK;
430199971;BERM19KTMAATWK;
430190140;BERM19LI060133;BERMUDA KLEUR 19 CA:060x133 cm Band: LI19
430190141;BERM19LI090160;BERMUDA KLEUR 19 CA:090x160 cm Band: LI19
430190142;BERM19LI130190;BERMUDA KLEUR 19 CA:130x190 cm Band: LI19
430190143;BERM19LI160240;BERMUDA KLEUR 19 CA:160x240 cm Band: LI19
430190144;BERM19LI200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: LI19
430190145;BERM19LI200240;BERMUDA KLEUR 19 CA:200x240 cm Band: LI19
430190146;BERM19LI200290;BERMUDA KLEUR 19 CA:200x290 cm Band: LI19
430190147;BERM19LI240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: LI19
430190148;BERM19LI250350;BERMUDA KLEUR 19 CA:250x350 cm Band: LI19
430190149;BERM19LI300400;BERMUDA KLEUR 19 CA:300x400 cm Band: LI19
430199970;BERM19LIMAATWK;
430199999;BERM19MAATWERK;
430190150;BERM19NA060133;BERMUDA KLEUR 19 CA:060x133 cm Band: NA11
430190151;BERM19NA090160;BERMUDA KLEUR 19 CA:090x160 cm Band: NA11
430190152;BERM19NA130190;BERMUDA KLEUR 19 CA:130x190 cm Band: NA11
430190153;BERM19NA160240;BERMUDA KLEUR 19 CA:160x240 cm Band: NA11
430190154;BERM19NA200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: NA11
430190155;BERM19NA200240;BERMUDA KLEUR 19 CA:200x240 cm Band: NA11
430190156;BERM19NA200290;BERMUDA KLEUR 19 CA:200x290 cm Band: NA11
430190157;BERM19NA240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: NA11
430190158;BERM19NA250350;BERMUDA KLEUR 19 CA:250x350 cm Band: NA11
430190159;BERM19NA300400;BERMUDA KLEUR 19 CA:300x400 cm Band: NA11
430199969;BERM19NAMAATWK;
430190160;BERM19NB060133;BERMUDA KLEUR 19 CA:060x133 cm Band: NB12
430190161;BERM19NB090160;BERMUDA KLEUR 19 CA:090x160 cm Band: NB12
430190162;BERM19NB130190;BERMUDA KLEUR 19 CA:130x190 cm Band: NB12
430190163;BERM19NB160240;BERMUDA KLEUR 19 CA:160x240 cm Band: NB12
430190164;BERM19NB200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: NB12
430190165;BERM19NB200240;BERMUDA KLEUR 19 CA:200x240 cm Band: NB12
430190166;BERM19NB200290;BERMUDA KLEUR 19 CA:200x290 cm Band: NB12
430190167;BERM19NB240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: NB12
430190168;BERM19NB250350;BERMUDA KLEUR 19 CA:250x350 cm Band: NB12
430190169;BERM19NB300400;BERMUDA KLEUR 19 CA:300x400 cm Band: NB12
430199968;BERM19NBMAATWK;
430190170;BERM19NH060133;BERMUDA KLEUR 19 CA:060x133 cm Band: NH18
430190171;BERM19NH090160;BERMUDA KLEUR 19 CA:090x160 cm Band: NH18
430190172;BERM19NH130190;BERMUDA KLEUR 19 CA:130x190 cm Band: NH18
430190173;BERM19NH160240;BERMUDA KLEUR 19 CA:160x240 cm Band: NH18
430190174;BERM19NH200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: NH18
430190175;BERM19NH200240;BERMUDA KLEUR 19 CA:200x240 cm Band: NH18
430190176;BERM19NH200290;BERMUDA KLEUR 19 CA:200x290 cm Band: NH18
430190177;BERM19NH240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: NH18
430190178;BERM19NH250350;BERMUDA KLEUR 19 CA:250x350 cm Band: NH18
430190179;BERM19NH300400;BERMUDA KLEUR 19 CA:300x400 cm Band: NH18
430199967;BERM19NHMAATWK;
430190180;BERM19NO060133;BERMUDA KLEUR 19 CA:060x133 cm Band: NO25
430190181;BERM19NO090160;BERMUDA KLEUR 19 CA:090x160 cm Band: NO25
430190182;BERM19NO130190;BERMUDA KLEUR 19 CA:130x190 cm Band: NO25
430190183;BERM19NO160240;BERMUDA KLEUR 19 CA:160x240 cm Band: NO25
430190184;BERM19NO200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: NO25
430190185;BERM19NO200240;BERMUDA KLEUR 19 CA:200x240 cm Band: NO25
430190186;BERM19NO200290;BERMUDA KLEUR 19 CA:200x290 cm Band: NO25
430190187;BERM19NO240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: NO25
430190188;BERM19NO250350;BERMUDA KLEUR 19 CA:250x350 cm Band: NO25
430190189;BERM19NO300400;BERMUDA KLEUR 19 CA:300x400 cm Band: NO25
430199966;BERM19NOMAATWK;
430199965;BERM19SBMAATWK;
430190190;BERM19SE060133;BERMUDA KLEUR 19 CA:060x133 cm Band: SE15
430190191;BERM19SE090160;BERMUDA KLEUR 19 CA:090x160 cm Band: SE15
430190192;BERM19SE130190;BERMUDA KLEUR 19 CA:130x190 cm Band: SE15
430190193;BERM19SE160240;BERMUDA KLEUR 19 CA:160x240 cm Band: SE15
430190194;BERM19SE200000;BERMUDA KLEUR 19 CA: 200 cm ROND Band: SE15
430190195;BERM19SE200240;BERMUDA KLEUR 19 CA:200x240 cm Band: SE15
430190196;BERM19SE200290;BERMUDA KLEUR 19 CA:200x290 cm Band: SE15
430190197;BERM19SE240000;BERMUDA KLEUR 19 CA: 240 cm ROND Band: SE15
