artikelnr;karpi_code;omschrijving
571130001;ANAT13XX180280;Anatolia Patch Kl.13 CA: 180x280 cm
571239999;ANAT23MAATWERK;ANATOLIA PATCH 23 MAATWERK
571230004;ANAT23XX140280;Anatolia Patch Kl.23 CA: 140x280 cm
571230001;ANAT23XX160230;Anatolia Patch Kleur 23 CA: 160x230 cm
571230005;ANAT23XX200250;Anatolia Patch Kl.23 CA: 200x250 cm
571230007;ANAT23XX250250;Anatolia Patch Kl.23 CA: 250x250 cm
571230002;ANAT23XX250500;Anatolia Patch Kl.23 CA: 250x500 cm
571230012;ANAT23XX300380;Anatolia Patch Kl.23 CA: 300x380 cm
571230011;ANAT23XX450450;Anatolia Patch Kl.23 CA: 450x450 cm
571310000;ANAT31XX140280;Anatolia Patch Kl.31 CA: 140x280 cm
571340004;ANAT34XX160160;Anatolia Patch Kl.34 CA: 160x160 cm
571340001;ANAT34XX160230;Anatolia Patch Kleur 34 CA: 160x230 cm
571410000;ANAT41XX150200;Anatolia Patch Kl.41 CA: 150x200 cm
571450003;ANAT45XX150200;Anatolia Patch Kl.45 CA: 150x200 cm
571450001;ANAT45XX160230;Anatolia Patch Kleur 45 CA: 160x230 cm
571540000;ANAT54XX180220;Anatolia Patch Kl.54 CA: 180x220 cm
571630002;ANAT63XX160230;Anatolia Patch Kleur 63 CA: 160x230 cm
571690002;ANAT69XX160230;Anatolia Patch Kleur 69 CA: 160x230 cm
602310003;ANBA31XX155230;ANBAR Kleur 31 CA: 155x230 cm
574120001;ANRM12XX060060;ANATOLIA RM Kleur 12 CA: 060x060 cm
574120000;ANRM12XX170230;ANATOLIA RM Kleur 12 CA: 170x230 cm
574120003;ANRM12XX200290;ANATOLIA RM Kleur 12 CA: 200x290 cm
574120002;ANRM12XX250400;ANATOLIA RM Kleur 12 CA: 250x400 cm
574230001;ANRM23XX060060;ANATOLIA RM Kleur 23 CA: 060x060 cm
574230000;ANRM23XX170230;ANATOLIA RM Kleur 23 CA: 170x230 cm
574230002;ANRM23XX200290;ANATOLIA RM Kleur 23 CA: 200x290 cm
574340001;ANRM34XX060060;ANATOLIA RM Kleur 34 CA: 060x060 cm
574340000;ANRM34XX170230;ANATOLIA RM Kleur 34 CA: 170x230 cm
574340002;ANRM34XX200290;ANATOLIA RM Kleur 34 CA: 200x290 cm
718320008;ANTA32XX040040;ANTIEK Kleur 32 CA: 040x040 cm
718320000;ANTA32XX160230;ANTIEK Kleur 32 CA: 160x230 cm
718320007;ANTA32XX200290;ANTIEK Kleur 32 CA: 200x290 cm
718350006;ANTA35XX040040;ANTIEK Kleur 35 CA: 040x040 cm
718350001;ANTA35XX160230;ANTIEK Kleur 35 CA: 160x230 cm
718350005;ANTA35XX200290;ANTIEK Kleur 35 CA: 200x290 cm
718430010;ANTA43XX040040;ANTIEK Kleur 43 CA: 040x040 cm
718430000;ANTA43XX160230;ANTIEK Kleur 43 CA: 160x230 cm
718430009;ANTA43XX200290;ANTIEK Kleur 43 CA: 200x290 cm
691230002;ANTQ23XX040040;ANTIQUE Kleur 23 CA: 040x040 cm
691230005;ANTQ23XX150260;ANTIQUE Kleur 23 CA: 150x260 cm
691230000;ANTQ23XX170240;ANTIQUE Kleur 23 CA: 170x240 cm
691230003;ANTQ23XX170270;ANTIQUE Kleur 23 CA: 170x270 cm
691230007;ANTQ23XX190250;ANTIQUE Kleur 23 CA: 190x250 cm
