GLN;Adres;Postcode;Plaats;Land
4040052015139;Theodor-Heuss-Str. 65-67;38228;Salzgitter;Duitsland
4040052015689;Theodor-Heuss-Strasse 59;96215;Lichtenfels;Duitsland
4040052005130;Theodor-Heuss-Straße 65-67;38228;Salzgitter;Duitsland
4040052015658;Thueringerstrasse 3;26723;Emden;Duitsland
4040052005659;Thüringer Str. 3;26723;Emden;Duitsland
4040052015450;Veldener Strasse 104;52349;Düren;Duitsland
4040052016228;Vom-Stein-Strasse 38;03050;Cottbus;Duitsland
4040052006229;Von-Stein-Str. 38;03050;Cottbus;Duitsland
4040052006083;Vor dem Dorfe 3;99189;Elxleben;Duitsland
4040052005420;Wagenstieg 2;37077;Goettingen;Duitsland
4040052015429;Wagenstieg 2;37077;Göttingen;Duitsland
4040052015566;Warsteiner Weg 1;59494;Soest;Duitsland
4040052006236;Weimarische Straße 3 a;07751;Jena - Isserstedt;Duitsland
4040052016235;Weimarische Strasse 3A;07751;Isserstedt;Duitsland
4040052005505;Westring 7;40721;Hilden;Duitsland
4040052015504;Westring 7;40721;Hilden;Duitsland
4040052005093;Windmuellerstr. 1;59557;Lippstadt;Duitsland
4040052005092;Windmuellerstraße 1;59557;Lippstadt;Duitsland
4040052015092;Windmüllerstrasse 1;59557;Lippstadt;Duitsland
4040052015184;Wolfsbankring 32;45355;Essen;Duitsland
4040052016495;Wriezener Karree 15;10243;Berlin;Duitsland
4040052015672;Ziegenhainer Strasse 47-49;34576;Homberg;Duitsland
4040052016105;Zscherbener Landstrasse 2;06126;Halle (Saale);Duitsland
4040052006106;Zscherbener Landstrasse 2;06126;Halle A.D. Saale;Duitsland
4040052016068;Zschortauer Strasse 5;04129;Leipzig;Duitsland
4040052006069;Zschortauer Straße 5;04129;Leipzig;Duitsland
4040052009305;Zum Kirchsteigfeld 2;14480;Potsdam;Duitsland
4040052019304;Zum Kirchsteigfeld 2A;14480;Potsdam;Duitsland
